bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20220128775,2022년 예닮마을양로원 기능보강사업,89977000,3,81797273,87.745,78703363
20220804553,화성~신통간 도로개설공사,1991480000,3,1810436364,86.745,1767746000
20220820072,국가어항(욕지항) 시설물 내진보강공사,6375488000,2,,,
20220821069,초사처리분구 등 6개소 하수관로정비사업,15948094000,3,,,
20220821303,나주천 생태하천복원 등 3개사업,44509226000,3,,,
20220822256,한국수출입은행 데이터센터 신축 건설공사,29914108000,2,,,
20220822980,국가공무원인재개발원(진천) 조경 개선 공사,2624879000,2,,,
20220823317,지하철 통합관제센터 신축 기계공사,9639016000,3,,,
20220823707,2022년 사립학교 교육환경개선사업 교내 배수로 교체공사(토목공사),95973000,2,87248182,87.745,84956700
20220823955,용화천 용화지구 지방하천정비사업,12429949000,3,,,
20220824006,인천남동경찰서 신축 건축공사,18381350000,2,,,
20220824023,인천해양경찰서 신축공사(건축),12566702000,2,,,
20220824799,대학본부 장애인편의시설(승강기) 설치 및 기타공사,581481000,2,,,
20220825509,업성지구 하수관로 정비공사,17402504000,3,,,
20220825859,고창지구 배수개선사업 토목공사,5595679000,2,,,
20220826951,환곡지구 배수개선사업 토목건축기계공사,7165846000,2,,,
20220827928,밀주초등학교 생태환경미래학교 운동장 조성 공사,372100000,3,338272728,87.745,328115320
20220828589,충청북도 도의회청사 및 도청 제2청사 건립사업 기계설비공사,7314435000,3,,,
20220828597,일산3리 마을공동시설 정비공사(주민지원사업),48521000,3,44110000,87.745,
20220829689,고남-창기(제2공구) 도로건설공사,46468060000,2,,,
20220829927,행복도시 어울림 플랫폼 북구보건소 및 트라우마센터 건축공사,18935722000,3,,,
20220830026,"일원초 일반교실 및 기타시설, 병설유치원 증축공사",7603816000,3,,,
20220830178,정부서울청사 별관 보수.보강공사(2차),548718000,2,,,
20220830200,"인천봉수초등학교 교사2,3동 교육환경 개선공사",5513079000,3,,,
20220830223,(가칭)운일고 교사신축공사,17174031000,3,,,
20220830562,김해 내덕지구 도시침수 예방사업,19006823000,3,,,
20220830901,종합복지허브타운 건립공사(총괄),33995132000,3,,,
20220830920,고남-창기(제1공구) 도로건설공사,55462487000,2,,,
20220831405,"익산시 금마배수지 확충공사(토목, 건축, 기계)",3820169000,3,,,
20220831630,원박천 원박지구 지방하천정비사업,12759457000,3,,,
20220831788,한포천 한포지구 지방하천정비사업,27372948000,3,,,
20220831841,다목적 시청각실 증축 건축공사,4009396000,2,,,
20220832001,태양광ESS 제조/검증 시험평가동 건립공사(건축공사),932365000,3,,,
20220900203,진도사무소 청사 신축공사(건축/토목/기계),941984000,2,,,
20220900606,완도사무소 청사 신축공사(건축/토목/기계),1074261000,2,,,
20220900769,국립소방병원 건립사업(소방공사),7550641000,2,6974320000,0,6474518703
20220900935,국립소방병원 건립사업(통신공사),3477706000,2,3150120000,0,3070794670
20220901567,한천 자연재해위험개선지구 정비사업,22317509000,3,,,
20220901680,대전둔산우체국 시설물 보수 공사,37678000,2,34252727,87.745,33048400
20220902574,스마트그린 산업단지 진입도로 개설사업,7618340000,3,,,
20220902579,벤처밸리 산업단지 진입도로 개설사업,6527773000,3,,,
20220902826,인천검단지구 도시시설물(3-1) 교량공사,35049901000,3,,,
20220903012,김제 노후관로(2단계) 정비사업,1782641000,3,,,
20220904522,예안지구 배수개선사업 토목공사,4976428000,2,,,
20220904753,남성지구 배수개선사업 토목공사,4937525000,2,,,
20220905115,체육인교육센터 건립사업 공사(건축),20111550000,2,17366840000,0,16593402271
20220905198,성리천 지방하천 정비사업,18818594000,3,,,
20220905329,덕암초등학교 급식실 지붕방수공사,49293000,3,44811818,87.745,43852000
20220905564,풍촌 재해위험개선지구 정비사업(총괄분),6613382000,3,,,
20220905674,화성직업훈련교도소 대체복무 생활관 증축공사,2932214000,2,,,
20220905691,임당유적전시관 건립 소방공사,1171339000,3,,,
20220905773,성환(3단계) 하수관로 정비공사,31519742000,3,29883872727,0,25676198000
