bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20230607939,국립도시건축박물관 건립사업,91455912000,2,,,
20230633559,관음중학교 도서관 공간혁신 시설공사 입찰 공고,157966000,3,143605456,87.745,139148700
20230800140,(가칭)아산세교중학교 교사 신축공사,22773614000,3,,,
20230804547,성지여자고등학교 공간혁신 개축공사,7936565000,2,,,
20230809952,평택당진항 항만배후단지 제2연결교량 건설공사,17059952000,2,,,
20230810986,암태면 복합생활밀착형 국민체육센터 건립공사(채무부담),15023604000,3,,,
20230811276,묘량중앙초 학교공간혁신 개축 및 리모델링 공사,6459119000,3,,,
20230813430,(가칭) 아산모종중학교 교사 신축공사,23667237000,3,,,
20230814308,고양관광문화단지 공영주차장 건립사업 건축공사,24277192000,3,,,
20230814493,석담지구 배수개선사업 토목공사,8558760000,2,,,
20230816915,발포항 및 여호항 내진보강공사,5218320000,2,,,
20230818099,양주시 장애인형 국민체육센터 건립공사,8468217000,3,,,
20230818260,제주 MICE 다목적 복합시설 확충사업 건축공사,35574647000,3,,,
20230818312,화개중학교 학교공간혁신 본관동 개축공사,2986947000,3,,,
20230818337,진주시 지방상수도 현대화사업(노후상수관망) 관망정비공사,10740263000,3,,,
20230818655,성북시각장애인복지관 창호교체공사,93307147,3,,,
20230819311,부전초등학교 다목적강당 및 급식실증축공사(계속비공사),5352819000,3,,,
20230819529,부산여자상업고등학교 그린스마트스쿨 리모델링 공사,6440839000,3,,,
20230820207,진영제일고 그린스마트 미래학교 본관 및 상업실습동 개축 통신공사,593355000,3,,,
20230821316,의령군민문화회관 승강기 설치 및 기타공사,696141000,3,,,
20230821406,진영제일고 그린스마트 미래학교 본관 및 상업실습동 개축 전기 공사,1334417000,3,,,
20230821411,2023년 가로수 생육환경 개선사업,216851000,3,,,
20230822665,"국궁장 노후시설 개보수 공사(건축,기계)",81667000,3,74242727,87.745,71760000
20230822777,국궁장 노후시설 개보수 공사(전기),49493000,3,44993636,87.745,43495561
20230822992,축산출장소 주변 노후 담장 정비 공사,82770000,3,,,
20230823620,육지 후비 전력관제센터 건립 전기공사,2772382000,2,,,
20230823662,육지 후비 전력관제센터 건립 통신공사,1556995000,2,,,
20230823719,육지 후비 전력관제센터 건립 소방공사,3086099000,2,,,
20230824047,"원주공공하수처리시설 유입침사지 증설사업(토목,건축,기계)",21902390000,3,,,
20230824296,낭도항 정비공사,22738481000,2,21651361819,0,17931873900
20230824396,왜관중앙초등학교 그린스마트스쿨 개축 및 기타공사,9111314000,3,,,
20230824532,산업단지 복합문화센터 건립 건축공사,6625574000,3,,,
20230824568,화성장안초 공간혁신공사(학교단위),11385029000,3,,,
20230824590,동해 광역 해상교통관제(VTS)센터 건립공사(건축),3981396000,2,,,
20230824785,경남연구원 냉난방기 교체 전기공사,109516000,3,,,
20230825552,강원도 사회적경제 혁신타운 조성사업 건축공사,12583092000,3,,,
20230825680,호수원 자동 관수시설 설치사업,272170400,3,247427637,87.745,241270500
20230825782,다목적구장 리모델링(토목) 공사,86360000,2,,,
20230825907,2023년 숲가꾸기사업(금왕음성지구),35659000,3,,,
