bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20231136310,창원봉림고등학교 도서실 및 음악실 환경개선공사 수의계약 안내공고,115754000,3.0,105230909,87.745,101895300
20231136313,[긴급](장기계속)서울도시과학기술고 천정텍스 교체공사,524975000,3.0,477250000,87.745,463049700
20231136314,수원농생명과학고 친환경(인조잔디) 운동장 재조성 공사,174163000,3.0,158330000,87.745,154036600
20231136321,인천남고 강당동 디자인이 담긴 화장실 개선공사 수의계약 견적제출 안내공고,175791000,3.0,159810000,87.745,155880600
20231136322,부광중 냉난방개선 기계설비공사(계속비),156668000,3.0,142425455,87.745,139175000
20231136323,영월군 동물보호센터 관리동 신축공사,123926000,3.0,112660000,87.745,
20231136329,공공선별장 현대화사업 선별룸 설치 공사,52745000,3.0,47950000,87.745,46501831
20231136330,지보 마전1리(양지마)농로 포장공사,129000000,3.0,117272728,87.745,114146000
20231136332,여주대교 보수보강공사,6459506000,3.0,6011135455,0,5582458500
20231136336,일도2동 992-8번지 외 2필지 석면해체처리 및 건축물 철거공사,77753000,3.0,70684545,87.745,68144100
20231136338,용궁 월오2리(나산들)농로 확포장공사,71300000,3.0,64818182,87.745,63706850
20231136341,명신고등학교 공간혁신 및 온라인학습교실 전기 공사 수의계약 안내 공고,175747000,3.0,159770000,87.745,156515683
20231136347,예천 우계리 마을안길 정비공사,73300000,3.0,66636364,87.745,64430000
20231136359,신흥고등학교 인조잔디 재조성공사,352034000,3.0,320030910,87.745,311473000
20231136360,용진초 다목적실 및 병설유치원 철거공사,63074000,3.0,57340000,87.745,54938000
20231136364,안양천 목동교 하부 MZ스포츠플라자 조성사업(조경),1451300000,3.0,1319363637,86.745,1256485000
20231136365,군도11호 산솔면 직동리(산103인근) 도로 유지보수공사,96725000,3.0,87931819,87.745,86225000
20231136366,부광고 고교학점제 학교공간조성 및 내부창호교체 기계설비공사(계속비),101530000,3.0,92300000,87.745,90726198
20231136367,영통동 1051-2외 2개소 하수관로 비굴착부분보수공사,47120000,3.0,42836363,87.745,41689430
20231136371,순천풍덕중 본관동 천장교체공사,137959000,3.0,125417273,87.745,122189046
20231136372,[계속비(총괄)]인천함박초 석면교체 및 냉난방시설개선 전기공사(긴급),497069000,3.0,451880909,87.745,440186826
20231136376,정산지구 소외계층 지방상수도 확충사업(서정리전원마을),60670000,3.0,55154546,87.745,53229200
20231136377,충남대학교 실험실 국소배기장치 개선 전기공사,229614000,2.0,208740000,87.745,205414488
20231136382,창촌초 외 2교 교사동 석면해체제거공사,57182000,3.0,51983638,87.745,50341830
20231136386,국도15호선 고흥 남양지구 안전시설물 정비공사,282700000,2.0,257000000,87.745,248171810
20231136394,고양제일중 식당증축 전기공사,300337763,2.0,273034330,87.745,269074000
20231136395,백신초 방화구획 개선 소방공사,23680800,3.0,21528000,87.745,20701781
20231136397,지방도 927호 예천 남본도로 배수로정비공사,47500000,3.0,43181819,87.745,42193620
20231136398,2023년 시설녹지 등 수목 가지치기 공사 시행(긴급),205000000,3.0,186363636,87.745,180701380
20231136403,솔정소하천(남천 원리)정비공사,93140000,3.0,84672727,87.745,82599910
20231136404,성명초등학교 영역단위 공간혁신사업 환경개선공사 입찰 공고,245850000,3.0,223500000,87.745,219659340
20231136407,창촌초 외 2교 교사동 보수공사,63322000,3.0,57565456,87.745,55711332
20231136410,위임국도 18호선 진도 의신지구 호우피해 복구공사,207121000,3.0,188291818,87.745,182502700
20231136415,마산합포구 산호동 마산도서관 일원 급경사지 보강공사,248600000,3.0,226000000,87.745,218282900
20231136420,문원체육공원 시설물 정비공사,80190000,3.0,72900000,87.745,70022650
20231136421,2023년 순천자연휴양림 진입도로 아스콘 포장공사,80992000,3.0,73629091,87.745,71615546
20231136424,공주영명고등학교 조명시설개선 전기공사,57206600,3.0,52006000,87.745,50262943
20231136425,인천부개초 냉난방개선 기계설비공사(계속비),48931000,3.0,44482727,87.745,43143630
20231136427,거제고현초 화장실보수 전기공사 수의계약 안내 공고,92499000,3.0,84090000,87.745,82267441
20231136428,방원중학교 꿈담도서관 및 학부모회의실 환경개선공사,243954000,3.0,221777000,87.745,213319661
20231136429,계곡 둔주 도로측구 정비공사,146660000,3.0,133327273,87.745,128500564
20231136438,단천초 본관 석면철거공사,113520000,3.0,103200000,87.745,100620000
20231136441,위임국도 15호선 화순 동복지구 호우피해 복구공사,297066000,3.0,270060000,87.745,263743600
20231136443,[계속비(총괄)]바이오과학고 냉난방시설개선 전기공사(긴급),192834000,3.0,175303636,87.745,171779300
20231136444,브니엘고등학교 학교공간 재구조화 건축공사,146900000,2.0,133545455,87.745,127897290
20231136452,화정중 이중창교체 등 개선공사,423168000,3.0,384698182,87.745,373483845
20231136458,단천초 본관 석면교체공사,147477000,3.0,134070000,87.745,129263237
20231136467,광주도평초 교사동 방화구획개선 소방공사,48965000,3.0,44513637,87.745,42912900
20231136468,2024년 보안등 수리공사 단가계약,134370000,3.0,122155000,87.745,117876310
20231136469,순천풍덕중 본관동 석면해체제거공사,218269000,3.0,198426364,87.745,194085800
20231136473,자연대 3호관 등 3개동 석면교체공사(건축),170370000,2.0,154881819,87.745,149237500
20231136474,장애인오케스트라 연습실 방음공사 수의계약 안내공고,135644000,3.0,123312728,87.745,119439440
20231136476,(긴급)인천경서초등학교 천정설치 및 다목적강당 보수공사(계속비),696201000,3.0,632910000,87.745,619442840
20231136482,순천시 소규모 처리장 유입부 퇴적물 준설공사,44690000,3.0,40627273,87.745,39196000
20231136483,[계속비(총괄)]인천함박초 석면텍스 교체 소방공사,29813000,3.0,27102727,87.745,26317830
20231136493,2023년 부산도시철도 1호선 노후 분기기 개량공사,374170000,3.0,401495000,87.745,332491000
20231136495,2023학년도 연성중학교 미래교실(교실형) 구축공사 수의계약 견적제출 안내공고,84615000,3.0,76922727,87.745,74532283
20231136500,양덕솔빛유치원 옥상 및 창의놀이실 공간혁신사업 건축공사,143920000,3.0,130836364,87.745,127480018
20231136508,전남대학교 여수생활관 도장 공사,57850000,2.0,52590910,87.745,51232962
20231136515,방어진 공동어시장 시설개선사업(건축.기계) 전자입찰 공고,300905000,3.0,273550000,87.745,265699800
20231136516,소하고 드라이비트 개선공사,306550000,3.0,278681819,87.745,267826095
20231136518,우장산 숲속 황토길 조성사업,165000000,3.0,150000000,87.745,146000000
20231136520,학동초 우수관로 교체 및 기타공사 수의계약 견적제출 안내 공고,106956000,3.0,97232727,87.745,95258990
20231136524,[긴급입찰 공고] 인천대정초 냉난방 개선 전기공사(계속비),274271000,3.0,249337273,87.745,241820046
20231136526,각화1교 하부 진입로 설치공사,563332000,3.0,512120000,87.745,496907650
20231136530,[계속비(총괄)]인천함박초 석면텍스 교체 정보통신공사,76944000,3.0,69949091,87.745,67711400
20231136537,자연대 3호관 등 3개동 석면교체공사(석면),183050000,2.0,166409091,87.745,162735100
20231136538,고양제일중 식당증축 통신공사,66444000,2.0,60404000,87.745,57744700
20231136542,일로하수처리장 악취방지시설 설치공사,145540000,3.0,132309090,87.745,129656290
20231136548,도시 소규모공원(삼섬공원) 활성화사업 전자입찰 공고,224838000,3.0,204398182,87.745,199059450
20231136551,2020년 사천시 낙지포항 어촌뉴딜사업 시설공사(소방),16805000,3.0,15277273,87.745,14866140
20231136560,2023년 제3종 시설물 교량(백석2교) 보수보강 공사,78024000,3.0,70930910,87.745,68863670
20231136574,4.3유적지 진입로(다랑쉬굴~잃어버린마을 다랑쉬마을) 개설공사,312521000,3.0,284110000,87.745,278274950
20231136576,오토캠핑장외 2개소 배수로 정비공사,56040000,3.0,50945455,87.745,49368198
20231136584,2023년 하반기 지방도 보행자 통행시설 정비사업(진안 성수 외궁),107966000,3.0,98150909,87.745,95249677
20231136585,방어진 공동어시장 시설개선사업(전기) 소액수의 견적제출 안내공고,74503000,3.0,67730000,87.745,65476850
20231136590,광도면 성우오스타 고속도로 방음벽 설치공사,252100000,3.0,229181819,87.745,224504000
20231136592,상언1(구룡골) 농로 및 배수로 정비공사,16100000,3.0,14636364,87.745,14045338
20231136599,제주 광령~도평 우회도로(우평로~월광로) 건설공사,1127665000,3.0,1025150000,86.745,993873380
20231136600,2024년 배관설비 유지보수공사(연간단가),193656650,3.0,176051500,87.745,171219800
20231136610,수도권대기환경청 4층 식당 리모델링 공사,123904000,2.0,112640000,87.745,108703258
20231136612,[긴급] 천천중 LED조명교체 전기공사(계속비),269527000,3.0,245024546,87.745,238432870
20231136613,청천중 냉난방개선 기계설비공사(계속비),127049000,3.0,115499091,87.745,112862220
20231136620,2023년 정선군 노후상수관로 시설개선공사,788558000,3.0,736400000,0,704299316
20231136624,2023년 하반기 지방도 보행자 통행시설 정비사업(완주 이서 상개),55979000,3.0,50890000,87.745,49354820
20231136626,문화근린공원 맨발산책로 조성사업,65554000,3.0,59594545,87.745,57853000
20231136631,광주교육대학교 대학원동 창호 교체공사,297907000,2.0,270824546,87.745,264338990
20231136634,명신고등학교 공간혁신 및 온라인학습교실 통신 공사 수의계약 안내 공고,26455000,3.0,24050000,87.745,23394780
20231136640,용남고 고교학점제 대비 공간혁신 전기공사,55363000,3.0,50330000,87.745,49321082
20231136644,[견적제출 안내공고]  인천십정초 내진보강 및 디자인이 담긴 화장실 개선 전기공사(계속비),167603000,3.0,152366364,87.745,147549872
20231136646,서벽문화마을 수해복구공사,68000000,3.0,61818182,87.745,60160000
20231136651,광문중 냉난방개선 전기공사,103026000,3.0,93660000,87.745,91941690
20231136652,서탄초 교사동 내진보강 전기공사,26080000,3.0,23709091,87.745,22958195
