bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20230924942,2023년 2차 조림지 덩굴제거사업(차황면 외 1개지구),62781000,3,57073637,87.745,55460700
20230924949,망성면 신덕마을 안길정비공사,30036000,3,27305455,87.745,26472528
20230924952,서구문화회관 리모델링 공사(건축기계),3712331000,3,3374846364,86.745,3271769930
20230924954,광산1리(외건들)농로포장공사,14900000,3,13545455,87.745,13101120
20230924958,순천금당고 기숙사 중수공사,285725000,3,259750000,87.745,253995000
20230924959,대전차량사업소 동력차 일상검수고 외 1개소 조명설비 개량공사,81147000,2,73770000,87.745,
20230924962,욕지 우도마을 물양장 설치공사,154224000,3,140203637,87.745,135205420
20230924964,2023년 민관협력형 덩굴제거사업 2차 (마리외지구),54565000,3,49604546,87.745,47512800
20230924975,2023년 민관협력형 덩굴제거사업 2차(남상신원지구),49085000,3,44622728,87.745,43953000
20230924980,매탄동 200-3일원 외 28개소 비굴착 부분보수공사[신기술(특허)사용],90180000,3,81981819,87.745,79510540
20230924982,남산소류지 그라우팅공사,91704000,2,83367272,87.745,80676400
20230924985,"김해공항 지상조업사 부대시설(샤워장, 화장실) 개선공사",114617000,2,104197273,87.745,101559910
20230924987,2023년 민관협력형 덩굴제거사업 2차 (가북고제북상지구),50454000,3,45867729,87.745,44427000
20230924990,인천박문초등학교 드라이비트 교체 공사 수의계약 견적제출 안내공고,180631000,3,164210000,87.745,160119300
20230924992,관산동 행정복지센터 내진보강 공사 및 내부 리모델링 추가 공사,82089700,3,74627000,87.745,72685590
20230924993,시청사 다목적회의실 환경조성 공사,123000000,3,111818181,87.745,107274529
20230924995,(긴급)수어통역센터 내진보강 및 리모델링 공사(건축),253847000,3,230770000,87.745,223570622
20230924998,2023년도 작업임도 신설공사(1공구),91208000,3,82916364,87.745,81309198
20230924999,2023년 주민숙의 편익사업 율문5리 마을회관 보수공사,26522000,3,24110909,87.745,23389700
20230925003,충남드론항공고등학교 체육관 외벽수선공사,35630000,3,32390909,87.745,31307485
20230925005,남포면 기초생활거점조성사업 토목건축조경공사,1848636000,2,1680578180,86.745,1621693500
20230925008,선유도서관 리모델링 건축+기계설비 공사,657400000,3,597636364,87.745,576498320
20230925009,소액수의 견적제출 안내공고[마산합포구 우산동 우산마을 지방상수도 공급공사],136420000,3,124018182,87.745,120811317
20230925014,자양동 151-2번지 일원 외 3개소 도로 정비공사,73960000,3,67236364,87.745,65634900
