bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20220619340,남해지방해양경찰청 실내체육관 신축공사(통신),66191000,2,59561819,0,57748532
20220635168,울산신항 동방파제 보강공사,76611940000,2,,,
20220705606,서귀포수산업협동조합 수산물처리저장시설(냉동) 노후배관 교체공사,44265000,3,40240909,87.745,
20220817889,동면-진천(제1공구) 도로건설공사,99832134000,2,,,
20220909019,상원~청하간 도로건설공사,79589744000,3,,,
20220909294,초정~화명 광역도로(초정~안막) 건설공사,38981691000,3,,,
20220913825,익산교육문화회관 기계실 배수펌프 및 제어밸브 설치에 따른 기계설비공사,37837000,3,34397273,87.745,32761070
20220914842,북한강 지촌지구 하천환경정비사업,18515500000,2,,,
20220918290,인천항 연안부두 수제선 정비공사,25395047000,2,,,
20220919270,스마트 제조장비 실증 실험동 건축공사,8730689000,2,,,
20220919477,실습실 안전환경개선 및 학생 친화적 복합 공간 리모델링 공사 수의견적 제출 안내 공고,98021000,3,89110000,87.745,85862914
20220919811,대변항 정비사업,31300588000,2,,,
20220920819,사용 후 연료전지 평가센터 건축공사,2680811000,3,,,
20220921715,운문~도계간 도로건설공사,33670194000,3,,,
20220921897,시흥시 문화예술회관 및 아동회관 건립공사(건축 등),33034603000,3,,,
20220922524,이천시 부발 공공하수도시설 설치사업,45040253000,3,,,
20220923903,원도심 복합업무타운 건립공사(건축),27903509000,3,,,
20220925724,덕곡지구 배수개선사업 토목공사,5790428000,2,,,
20220925776,제주특별자치도 서귀포의료원 급성기병상 증축사업 건축공사,33909951000,3,,,
20220927598,부림지구 배수개선사업 토목공사,10776140000,2,,,
20220927628,"금천(임당,방지)하수관거정비사업",5600781000,3,,,
20220927978,(통영) 도산초 교실출입문 및 창호교체 공사 소액수의 안내 공고,66781000,3,60710000,87.745,58400000
20220929227,경상국립대학교 농생1호관 증축공사(1차),9753205000,2,,,
20220929386,"예천상수도(효자,은풍) 급수구역 확장사업",14793984000,3,,,
20220929406,양주은남 일반산업단지 부지조성공사,44845554000,3,,,
20220931385,강릉경찰서 신축공사,20846789000,2,,,
20221000078,천안 북부BIT일반산업단지 공공폐수연계처리시설 건설공사(토목·건축·기계·조경),10675065000,3,,,
20221000864,평생교육원 건립 건축공사(1차),22370375000,2,,,
20221001351,고산지구 문화누리센터 건립사업,13763650000,3,,,
20221002114,대구달성경찰서 신축 건축공사,16127577000,2,,,
20221002295,"대전형바이오창업지원 오픈랩 구축 리모델링 공사(건축,기계)",119972000,3,,,
20221002553,대구달성경찰서 신축 전기공사,2303435000,2,,,
20221002608,영덕도서관 이전 신축공사,6505361000,3,,,
20221002638,양천어르신종합복지관 옥상 방수제품(슁글) 교체 및 전관 발수 작업,77160000,3,,,
20221002693,온실동 환경개선 공사,237008000,2,,,
20221003105,신관초등학교 다목적강당 지붕방수공사,144810000,3,131645455,87.745,127900960
20221003336,광주화정중 그린스마트 미래학교 조성공사,6649523000,3,,,
20221003488,대곡금척 자연재해위험개선지구 정비사업,9052167000,3,,,
20221003955,덕천강(삼장지구) 여울공원 조성공사(총괄분),1282270000,3,,,
20221003968,상법천(지방하천) 개보수사업(총괄분),1244650000,3,,,
20221004004,도전 공공하수처리시설 설치공사,5349059000,3,,,
20221004095,디자인공원 물길쉼터 조성공사,162715000,3,,,
20221004200,마산여자중학교 외부환경개선공사,55600000,3,,,
20221004868,산업가스안전기술센터 비정상용기 처리동 건립공사(건축),966925000,2,,,
20221004876,산업가스안전기술센터 비정상용기 처리동 건립공사(전기),383316000,2,,,
20221005149,무주군립요양병원 건립사업 통신공사,553911000,3,,,
20221006049,무주군립요양병원 건립사업,8398660000,3,,,
20221006340,마음에온 법환(서귀포시 스타트업타운) 건설공사(건축),13973580000,3,13293506463,79.995,11597429000
20221006367,무주군립요양병원 건립사업 전기공사,1619348000,3,,,
20221007038,국립대구과학관 꿈나무과학관 과학도서관 시공 견적제출 - 통신,14610000,2,13281819,87.745,12783240
20221007058,전북과학대학교 운동장 인조잔디 구장 구축 토목공사,277353000,2,252139091,87.745,245223000
20221007261,2022학년도 노후 승강기 교체공사 (2차),187165000,3,170150000,0,175340000
20221007303,"부산수영경찰서 신축사업 건축공사(기계, 토목, 조경공사 포함)",13067998000,2,,,
20221007578,옥종고등학교 급식소증축 소방공사 수의계약 안내공고,18821000,3,17110000,87.745,16678520
20221007688,충북여고 별관 그린스마트 리모델링 소방공사 공고,19525000,3,,,
20221007690,충북여고 별관 그린스마트 리모델링 전기공사 공고,51799000,3,,,
20221007691,충북여고 별관 그린스마트 리모델링 통신공사 공고,45419000,3,,,
20221007695,서당 방앗거리 농로 포장공사 수의견적(공사) 전자제출 안내 공고,18337000,3,,,
20221007707,등동 앞들 농로 정비공사 수의견적(공사) 전자제출 안내 공고,13244000,3,,,
20221007712,산촌 뒷들 농로 포장공사 수의견적(공사) 전자제출 안내 공고,30778000,3,,,
20221007716,호곡 갑산들 배수로 정비공사 수의견적(공사) 전자제출 안내 공고,22275000,3,,,
20221007717,양촌 앞들 용배수로 정비공사 수의견적(공사) 전자제출 안내 공고,27423000,3,,,
20221007856,전라남도창의융합교육원 본관동 가칭커뮤니티실외 보수공사 소액 수의견적 제출 안내공고,92323000,3,,,
20221007910,무수 농촌환경 개선사업 공사 수의견적(공사) 전자입찰 공고,36432000,3,,,
20221007982,외용궁 뒷들 용배수로 설치공사 수의견적(공사) 전자입찰 공고,13079000,3,,,
20221007985,미세먼지 저감 공익 숲가꾸기 (1권역),59451000,3,,,
20221008001,2022학년도 서울등현초등학교 꿈을 담은 놀이터 조성공사 수의계약 안내공고,130206000,3,118369091,87.745,114281900
20221008007,미세먼지 저감 공익 숲가꾸기 (2권역),51474000,3,,,
20221008013,미세먼지 저감 공익 숲가꾸기 (3권역),69348000,3,,,
20221008030,국립나주박물관 디지털 복합문화관 건립 건축공사,11010866000,2,,,
20221008068,평택마이스터고등학교 다산관 화장실 개선 공사 소액수의 견적 제출 안내 공고,83302000,3,,,
20221008072,내송 산박골 농로 정비공사 수의견적(공사) 전자입찰 공고,49566000,3,,,
20221008102,조선기자재기업 신재생에너지 업종전환 지원사업 도장공장 건축공사,638396000,3,580360000,87.745,564277570
20221008362,탐방객 안전쉼터 개선사업,69132000,2,,,
20221008506,석련사 석축 복구,99340000,3,,,
20221008510,송죽상가지구 배수개선사업 토목건축공사,5931814000,2,,,
20221008610,홍성군 다함께 돌봄센터 3~5호점 보완,161361000,3,,,
20221008639,멸종위기종복원센터 교육관 건립 공사(건축),2113173000,2,,,
20221008677,내포 다목적운동장 주차장 조성,77417000,3,,,
20221008901,북내지구 다목적농촌용수개발사업 토목공사,24159607000,2,,,
20221008965,2022년 가을철 경제수 조림사업,42549000,3,,,
20221009077,가평읍 읍내리 505-7번지 일원 오수관로 설치공사,67580000,3,,,
20221009403,[긴급] 광주광남중 옥상방수공사,299530000,3,,,
20221009410,전통문화관 노후시설 보수공사 수의(총액) 견적제출 안내 공고,120000000,3,,,
20221009493,강내 사곡1리 농로포장공사,27010000,3,,,
20221009495,입장면 시장리 배수관 매설공사,87794000,3,,,
20221009540,내기 상전골 용배수로 정비공사 수의견적(공사) 전자입찰 공고,49863000,3,,,
